schema_version,simulator_version,evidence_class,bucket_start_ns,bucket_end_ns,source_emissions,slow_receiver_data_frame_arrivals,slow_receiver_inbox_accepts,slow_receiver_inbox_drops,slow_receiver_decoder_completions,innovative_rank_advance,rank_at_bucket_end,quantized_receiver_watermark_at_bucket_end,block_ack_emissions,sender_ack_joins,sender_progress_joins,sender_joined_watermark_at_bucket_end,last_ack_seen_ns,last_ack_progress_ns,silence_clock_age_ns,progress_clock_age_ns,stall_budget_remaining_ns,liveness_abort
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,20500000000,20750000000,0,0,0,0,0,0,6967,409,2,2,0,409,20696686943,8970563230,53313057,11779436770,3220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,20750000000,21000000000,0,0,0,0,0,0,6967,409,2,1,0,409,20987535166,8970563230,12464834,12029436770,2970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,21000000000,21250000000,0,0,0,0,0,0,6967,409,0,1,0,409,21017910179,8970563230,232089821,12279436770,2720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,21250000000,21500000000,0,0,0,0,0,0,6967,409,2,2,0,409,21327263956,8970563230,172736044,12529436770,2470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,21500000000,21750000000,0,0,0,0,0,0,6967,409,2,2,0,409,21639996928,8970563230,110003072,12779436770,2220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,21750000000,22000000000,0,0,0,0,0,0,6967,409,1,1,0,409,21887692995,8970563230,112307005,13029436770,1970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,22000000000,22250000000,0,0,0,0,0,0,6967,409,2,2,0,409,22195900117,8970563230,54099883,13279436770,1720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,22250000000,22500000000,0,0,0,0,0,0,6967,409,2,1,0,409,22487585077,8970563230,12414923,13529436770,1470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,22500000000,22750000000,0,0,0,0,0,0,6967,409,0,1,0,409,22506573515,8970563230,243426485,13779436770,1220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,22750000000,23000000000,0,0,0,0,0,0,6967,409,2,2,0,409,22816750940,8970563230,183249060,14029436770,970563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,23000000000,23250000000,0,0,0,0,0,0,6967,409,2,2,0,409,23137612106,8970563230,112387894,14279436770,720563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,23250000000,23500000000,0,0,0,0,0,0,6967,409,2,2,0,409,23449432871,8970563230,50567129,14529436770,470563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,23500000000,23750000000,0,0,0,0,0,0,6967,409,1,1,0,409,23687947474,8970563230,62052526,14779436770,220563230,false
1,0.1.0,model-level WR failure triage; ideal DoF abstraction; not a WAN measurement,23750000000,24000000000,0,0,0,0,0,0,6967,409,2,2,0,409,23997219611,8970563230,2780389,15029436770,0,true
