research_scope,source_dof,seeds,trees,rate_profile,static_ratio,loss,loss_num,loss_den,receivers,feedback_rtt_ticks,protocol,receiver_observations,receiver_completion_ticks_sum,mean_receiver_completion_ticks,p95_receiver_completion_ticks,barrier_completion_ticks_sum,mean_barrier_completion_ticks,p95_barrier_completion_ticks,sender_stop_ticks_sum,mean_sender_stop_ticks,p95_sender_stop_ticks,total_emissions_sum,mean_total_emissions,p95_total_emissions,ownership_wasted_deliveries_sum,mean_ownership_wasted_deliveries,p95_ownership_wasted_deliveries,post_completion_tail_deliveries_sum,mean_post_completion_tail_deliveries,p95_post_completion_tail_deliveries,post_completion_tail_emissions_sum,mean_post_completion_tail_emissions,p95_post_completion_tail_emissions,opportunity_weighted_tree_utilization
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,8,pooled_carousel,1536,6323355,4116.767578,4123,2109238,4119.605469,4124,2113334,4127.605469,4132,4225644,8253.210938,8262,0,0.000000,0,30827,60.208984,78,7421,14.494141,15,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,64,equal_split_striping,1536,6431490,4187.167969,4248,2150655,4200.498047,4252,2183423,4264.498047,4316,4219378,8240.972656,8250,12076,23.585938,39,0,0.000000,0,0,0.000000,0,0.966456718
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,64,rate_proportional_striping,1536,6431490,4187.167969,4248,2150655,4200.498047,4252,2183423,4264.498047,4316,4219378,8240.972656,8250,12076,23.585938,39,0,0.000000,0,0,0.000000,0,0.966456718
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,64,per_stripe_fec,1536,6326902,4119.076823,4126,2110710,4122.480469,4128,2111222,4123.480469,4129,4221188,8244.507812,8256,17520,34.218750,58,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,64,pooled_rounds,1536,6427815,4184.775391,4245,2149105,4197.470703,4248,2181873,4261.470703,4312,4218237,8238.744141,8248,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.966881915
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,64,pooled_carousel,1536,6323355,4116.767578,4123,2109238,4119.605469,4124,2142006,4183.605469,4188,4282988,8365.210938,8374,0,0.000000,0,201994,394.519531,412,64765,126.494141,127,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,512,equal_split_striping,1536,7178950,4673.795573,5145,2437822,4761.371094,5148,2699966,5273.371094,5660,4219385,8240.986328,8250,12122,23.675781,40,0,0.000000,0,0,0.000000,0,0.781525634
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,512,rate_proportional_striping,1536,7178950,4673.795573,5145,2437822,4761.371094,5148,2699966,5273.371094,5660,4219385,8240.986328,8250,12122,23.675781,40,0,0.000000,0,0,0.000000,0,0.781525634
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,512,per_stripe_fec,1536,6326902,4119.076823,4126,2110710,4122.480469,4128,2111222,4123.480469,4129,4221188,8244.507812,8256,17520,34.218750,58,0,0.000000,0,0,0.000000,0,1.000000000
MODEL-LEVEL EVIDENCE - ideal DoF - NOT WAN measurement,8192,512,2,static-1to1,1,bec-0.5pct,5,1000,3,512,pooled_rounds,1536,7167587,4666.397786,5142,2430194,4746.472656,5145,2692338,5258.472656,5657,4218228,8238.726562,8248,0,0.000000,0,0,0.000000,0,0,0.000000,0,0.783525384
